id,aas,denominazione,indirizzo,n_civ,cap,citta,prov,telefono,tipologia,natura_giuridica,pl_tot,auto_n1,auto_n2,non_auto_n3,rm_auto,rm_non_auto,lat,longit,Georeferenziazione
119,Azienda Sanitaria Universitaria Friuli Centrale,COVIL 'Matteo Brunetti',Via Nazionale,31,33026,Paluzza,UD,0433/775121,Secondo livello,Pubblica ASP,130,33,24,73,55.7,90.8,46.52966,13.014337,POINT (13.014337 46.52966)
118,Azienda Sanitaria Universitaria Friuli Centrale,Residenza 'Ianus',Viale S. Marco,4,33057,Palmanova,UD,0432/924132,Secondo livello,Privata di mercato,60,0,11,49,0,95.5,45.910274,13.299263,POINT (13.299263 45.910274)
117,Azienda Sanitaria Universitaria Friuli Centrale,'Ardito Desio',Piazza Garibaldi,7,33057,Palmanova,UD,0432/929372,Terzo livello,Pubblica ASP,117,23,11,83,54,90.04,45.90408,13.307649,POINT (13.307649 45.90408)
58,Azienda Sanitaria Universitaria Giuliano Isontina,'Villa Amica',Via Rossetti,56,34141,Trieste,TS,040/942482,Livello base,Privata di mercato,25,0,25,0,63,63,45.646941,13.788303,POINT (13.788303 45.646941)
57,Azienda Sanitaria Universitaria Giuliano Isontina,'Venus' (SOSPESA),Via Carducci,31,34100,Trieste,TS,345/5966220,Livello base,Privata di mercato,13,0,13,0,,,45.649879,13.777671,POINT (13.777671 45.649879)
56,Azienda Sanitaria Universitaria Giuliano Isontina,'Valdirivo',Via Valdirivo,22,34132,Trieste,TS,040/7606599,Livello base,Privata di mercato,20,0,20,0,60,63,45.653518,13.773402,POINT (13.773402 45.653518)
55,Azienda Sanitaria Universitaria Giuliano Isontina,'Santa Chiara',Via Mario Maovaz,12,34148,Trieste,TS,040/413035,Livello base,Privata di mercato,29,0,29,0,73,73,45.657609,13.774488,POINT (13.774488 45.657609)
54,Azienda Sanitaria Universitaria Giuliano Isontina,Le Terrazze,Via Montecchi,6,34137,Trieste,TS,040/632792,Primo livello,Privata di mercato,25,0,0,25,60,70,45.652245,13.776376,POINT (13.776376 45.652245)
52,Azienda Sanitaria Universitaria Giuliano Isontina,'RenÃ¨ 2',Via Santa Caterina,5,34132,Trieste,TS,040/9718467,Livello base,Privata di mercato,11,0,11,0,50,50,45.6526859,13.7726407,POINT (13.7726407 45.6526859)
51,Azienda Sanitaria Universitaria Giuliano Isontina,'Nonno Felice',Via Stock,2/2,34135,Trieste,TS,391/7604757,Livello base,Privata di mercato,24,0,24,0,60,60,45.643338,13.759551,POINT (13.759551 45.643338)
50,Azienda Sanitaria Universitaria Giuliano Isontina,'Vesta',Via Machiavelli,22,34132,Trieste,TS,040/2458241,Livello base,Privata di mercato,14,0,14,0,59.17,59.17,45.652629,13.773216,POINT (13.773216 45.652629)
49,Azienda Sanitaria Universitaria Giuliano Isontina,'Moschion 2',Via Battisti,22 (II piano),34125,Trieste,TS,040/631144,Livello base,Privata di mercato,20,0,20,0,60,62.5,45.653294,13.781345,POINT (13.781345 45.653294)
48,Azienda Sanitaria Universitaria Giuliano Isontina,'Moschion 1',Via Battisti,22 (I piano),34125,Trieste,TS,040/631144,Livello base,Privata di mercato,18,0,18,0,60,62.5,45.653294,13.781345,POINT (13.781345 45.653294)
47,Azienda Sanitaria Universitaria Giuliano Isontina,'Mater Dei',Viale Raffaello Sanzio,3,34128,Trieste,TS,"040/53580, 040/54332",Livello base,Privata ente religioso,77,59,18,0,70.66,75,45.654863,13.799659,POINT (13.799659 45.654863)
46,Azienda Sanitaria Universitaria Giuliano Isontina,Residenza Le rose,Via Roma,"13, 3P",34132,Trieste,TS,040/363360 347/8225691,Livello base,Privata di mercato,25,0,25,0,63.33,63.33,45.652916,13.772734,POINT (13.772734 45.652916)
45,Azienda Sanitaria Universitaria Giuliano Isontina,Casa Fider Trieste,Via Belpoggio,1,34123,Trieste,TS,040/765310,Livello base,Privata sociale,24,8,16,0,56,56,45.6453983,13.7597421,POINT (13.7597421 45.6453983)
44,Azienda Sanitaria Universitaria Giuliano Isontina,'La Tua Casa' - Via Giulia 1,Via Giulia,1,34126,Trieste,TS,040/370223,Livello base,Privata di mercato,24,0,24,0,62.5,62.5,45.653365,13.782457,POINT (13.782457 45.653365)
43,Azienda Sanitaria Universitaria Giuliano Isontina,'La Tua Casa' - Via Genova 2Â°P,Via Genova,23 (2Â° piano),34121,Trieste,TS,040/636339,Livello base,Privata di mercato,22,0,22,0,62.5,62.5,45.651034,13.773708,POINT (13.773708 45.651034)
42,Azienda Sanitaria Universitaria Giuliano Isontina,'La Tua Casa' - Via Genova 3Â°P,Via Genova,23 (3Â° piano),34121,Trieste,TS,040/636239,Livello base,Privata di mercato,20,0,20,0,62.5,62.5,45.651034,13.773708,POINT (13.773708 45.651034)
41,Azienda Sanitaria Universitaria Giuliano Isontina,'La Tua Casa' - Via Giulia 5,Via Giulia,5,34126,Trieste,TS,040/635744,Livello base,Privata di mercato,25,0,25,0,62.5,62.5,45.65344,13.783111,POINT (13.783111 45.65344)
40,Azienda Sanitaria Universitaria Giuliano Isontina,'La Mia',Via Pozzo del Mare,1,34121,Trieste,TS,040/2457701,Livello base,Privata di mercato,21,0,21,0,63.33,64.66,45.649296,13.767321,POINT (13.767321 45.649296)
39,Azienda Sanitaria Universitaria Giuliano Isontina,'Il Nido',Via Valdirivo,22,34132,Trieste,TS,335-5706637,Livello base,Privata di mercato,20,0,20,0,64,67,45.653518,13.773402,POINT (13.773402 45.653518)
38,Azienda Sanitaria Universitaria Giuliano Isontina,Donna Domenica,Via Torrebianca,25,34132,Trieste,TS,040/361385 3459331081,Livello base,Privata di mercato,12,0,12,0,60,62,45.65272,13.773935,POINT (13.773935 45.65272)
37,Azienda Sanitaria Universitaria Giuliano Isontina,Residenza 'Flora 3' (SOSPESA),Via del Lavatoio,5,34133,Trieste,TS,040/2601568,Livello base,Privata di mercato,20,0,20,0,50,53,45.653792,13.77527,POINT (13.77527 45.653792)
36,Azienda Sanitaria Universitaria Giuliano Isontina,Residenza 'Flora 2',Via Carducci,32,34125,Trieste,TS,040/0646327,Livello base,Privata di mercato,12,0,12,0,50,53.33,45.649657,13.778169,POINT (13.778169 45.649657)
35,Azienda Sanitaria Universitaria Giuliano Isontina,Residenza 'Flora 1' (SOSPESA),Via Valdirivo,21,34132,Trieste,TS,040/7606118,Livello base,Privata di mercato,0,0,0,0,,,45.653077,13.774363,POINT (13.774363 45.653077)
34,Azienda Sanitaria Universitaria Giuliano Isontina,'Elite',Via Battisti,17,34125,Trieste,TS,040/3481488,Primo livello,Privata di mercato,20,0,0,20,81,104,45.652411,13.780144,POINT (13.780144 45.652411)
33,Azienda Sanitaria Universitaria Giuliano Isontina,Eden - IV piano,Largo della Barriera Vecchia,11 (IV piano),34131,Trieste,TS,040/7606599,Livello base,Privata di mercato,13,0,13,0,60,63,45.647624,13.778958,POINT (13.778958 45.647624)
32,Azienda Sanitaria Universitaria Giuliano Isontina,Eden - III piano,Largo della Barriera Vecchia,11 (III piano),34131,Trieste,TS,040/7606599,Livello base,Privata di mercato,17,0,17,0,60,63,45.647624,13.778958,POINT (13.778958 45.647624)
30,Azienda Sanitaria Universitaria Giuliano Isontina,'Cinque Stelle',Via Torrebianca,8,34132,Trieste,TS,040/3478042,Livello base,Privata di mercato,20,0,20,0,64,71.66,45.653462,13.77192,POINT (13.77192 45.653462)
29,Azienda Sanitaria Universitaria Giuliano Isontina,'Cellini',Via Cellini,3,34132,Trieste,TS,040/365084,Livello base,Privata di mercato,22,0,22,0,63,65,45.656305,13.773271,POINT (13.773271 45.656305)
28,Azienda Sanitaria Universitaria Giuliano Isontina,'Casa Zovenzoni',Via Zovenzoni,6,34129,Trieste,TS,040/634546,Livello base,Privata di mercato,22,0,22,0,68.33,68.33,45.653098,13.784319,POINT (13.784319 45.653098)
27,Azienda Sanitaria Universitaria Giuliano Isontina,'Casa Fiorita',Strada Nuova per Opicina,7,34151,Trieste,TS,040/55193,Livello base,Privata di mercato,25,0,25,0,75,75,45.662797,13.806988,POINT (13.806988 45.662797)
26,Azienda Sanitaria Universitaria Giuliano Isontina,Insieme a Noi (ex Antonella),Via di Prosecco,9,34016,Trieste,TS,040/211188,Livello base,Privata di mercato,20,0,20,0,77,77,45.68889,13.788665,POINT (13.788665 45.68889)
25,Azienda Sanitaria Universitaria Giuliano Isontina,Residenza 'Anni Sereni in Viale',Via Gatteri,6,34125,Trieste,TS,040/633452,Primo livello,Privata di mercato,25,0,0,25,81,104,45.652537,13.782234,POINT (13.782234 45.652537)
24,Azienda Sanitaria Universitaria Giuliano Isontina,'Anni d'argento',Largo della Barriera Vecchia,11,34131,Trieste,TS,040/636258,Livello base,Privata di mercato,17,0,17,0,60,60,45.647624,13.778958,POINT (13.778958 45.647624)
23,Azienda Sanitaria Universitaria Giuliano Isontina,'Alida',Via S. NicolÃ²,8,34121,Trieste,TS,040/633054,Livello base,Privata di mercato,24,0,24,0,64,66.66,45.651084,13.770688,POINT (13.770688 45.651084)
22,Azienda Sanitaria Universitaria Giuliano Isontina,'Albertina',Via Coroneo,3,34133,Trieste,TS,040/365900,Primo livello,Privata di mercato,25,0,7,18,75,81.6,45.653174,13.777554,POINT (13.777554 45.653174)
173,Azienda Sanitaria Universitaria Friuli Centrale,'Nobili dÃ¨ Pilosio' (trasferita temporaneamente c/o Magnano Green),Via Buia,4,33010,Magnano in Riviera,UD,0432/851115,Secondo livello,Pubblica comunale,86,11,30,45,58,84.5,46.22097,13.17143,POINT (13.17143 46.22097)
172,Azienda Sanitaria Universitaria Friuli Centrale,'Zaffiro Magnano Green',Via Buia,4,33010,Magnano in Riviera,UD,0432/781900,Terzo livello,Privata di mercato,120,0,0,120,0,111.5,46.22097,13.17143,POINT (13.17143 46.22097)
171,Azienda Sanitaria Friuli Occidentale,'Zaffiro Torre',Via Vittorio Veneto,31,33170,Pordenone,PN,0434/539200,Terzo livello,Privata di mercato,120,0,0,120,0,101,45.967774,12.685838,POINT (12.685838 45.967774)
170,Azienda Sanitaria Friuli Occidentale,'Zaffiro Noncello',Via Vittorio Veneto,31,33170,Pordenone,PN,0434/539200,Terzo livello,Privata di mercato,120,0,0,120,0,101,45.967774,12.685838,POINT (12.685838 45.967774)
169,Azienda Sanitaria Friuli Occidentale,'Villa Mariucci' (ex Clara Drulea),Via San Quirino,4,33084,Cordenons,PN,0434/932442,ComunitÃ  familiare,Privata di mercato,5,5,0,0,60,0,45.990414,12.695607,POINT (12.695607 45.990414)
168,Azienda Sanitaria Friuli Occidentale,Residenza casa del clero,Via Savorgnano,47,33078,San Vito al Tagliamento,PN,0434/842511,Personale religioso non autosufficiente,Privata ente religioso,29,0,0,0,55,90,45.909846,12.856889,POINT (12.856889 45.909846)
167,Azienda Sanitaria Friuli Occidentale,'Casa alberina',Via Dante Alighieri,30,33081,Aviano,PN,340/6403995,ComunitÃ  familiare,Privata sociale,19,19,0,0,63,0,46.070804,12.581614,POINT (12.581614 46.070804)
166,Azienda Sanitaria Universitaria Giuliano Isontina,'Casa Verde',Via di Servola,180,34146,Trieste,TS,040/2605502,Primo livello,Privata di mercato,43,0,0,43,81,104,45.623662,13.787023,POINT (13.787023 45.623662)
116,Azienda Sanitaria Universitaria Friuli Centrale,Centro Sociale Comunale per Anziani di Osoppo (SOSPESA),Via Rosselli,7,33010,Osoppo,UD,0432/610618,Alberghiera,Privata sociale,81,81,0,0,45,52,46.255263,13.084896,POINT (13.084896 46.255263)
115,Azienda Sanitaria Universitaria Friuli Centrale,Associazione 'Residenti ComunitÃ  Alloggio' Nimis,Via S. Giacomo,11,33045,Nimis,UD,0432/797344,ComunitÃ  familiare,Privata sociale,11,11,0,0,46,0,46.215993,13.317176,POINT (13.317176 46.215993)
114,Azienda Sanitaria Universitaria Friuli Centrale,'Villa Nimis',Via Roma,38,33045,Nimis,UD,0432/790113,Secondo livello,Privata sociale,60,0,6,54,105,101.5,46.198385,13.265321,POINT (13.265321 46.198385)
113,Azienda Sanitaria Universitaria Friuli Centrale,'Italia Rovere Bianchi',Via Gonars,11,33050,Mortegliano,UD,0432/762094,Terzo livello,Pubblica comunale,90,0,0,90,45,72.6,45.942886,13.177969,POINT (13.177969 45.942886)
112,Azienda Sanitaria Universitaria Friuli Centrale,Centro Anziani 'E. Tolazzi',Via Giorgio Ermolli,28,33015,Moggio Udinese,UD,0433/51999,Secondo livello,Pubblica comunale,71,0,0,71,51.45,84,46.40513,13.19555,POINT (13.19555 46.40513)
111,Azienda Sanitaria Universitaria Friuli Centrale,'Zaffiro Martignacco',Via della Vecchia Filatura,26,33035,Martignacco,UD,0432/407311,Terzo livello,Privata di mercato,148,20,44,84,88,119.5,46.09288,13.18275,POINT (13.18275 46.09288)
